id,name,profile_path,gender
25819,Michele Placido,/j8krw9CE6VYP9BSiS86lQPMb8DM.jpg,2
10431,Jennifer Jason Leigh,/tncFH9YfrK2ql1cNXGEkEAJ5zIz.jpg,1
4764,John C. Reilly,/kUo2TPQp4kOWWvijvkjLl0v9PQB.jpg,2
56890,Malcolm McDowell,/lnVJ6J8szi86ssDTfyvZSl8lnlr.jpg,2
400,Geraldine Chaplin,/gr5UwM0nA76SCWDSCXjjSSxclvf.jpg,1
67792,Massimo Troisi,/4MYP8iFkyi1txnPmR5LlPISt77X.jpg,0
4581,Steve Coogan,/1xeEsE6pq6GTkueRfjzQiTqvyYA.jpg,2
35,Sally Field,/ymhpsxujOO3a9qaGYSpkenCt9Le.jpg,1
2628,Kiefer Sutherland,/4YvDfOfD4TgyzDkLGoq76g5BZNe.jpg,2
3266,Joe Mantegna,/vd83KyKwcNrxd6EDcezGv16xhsL.jpg,2
65017,Natalija Nogulich,/4NKMj3FHdZUGWmvcCiayw9nwWVa.jpg,1
3905,William H. Macy,/cYmHYCGxkOVZgu2oDyhF6lKgfaj.jpg,2
35690,Shawn Wayans,/9GHZOZMCsbQyESuMYtO7T7hs0lg.jpg,2
9562,Marlon Wayans,/yMBaTsPrthko9eYtSjfVduws5Cn.jpg,2
27590,Chris Spencer,/YKLFR5dQzNOXCXikByhTRRvqkW.jpg,2
2535,Vivica A. Fox,/uxTOzgRhk0VkbK1ZiOrQSTYuzAl.jpg,1
1897,Bernie Mac,/3qIk1hVV82kcZSEffbuUHpMQBCq.jpg,2
35689,Keenen Ivory Wayans,/4uCVzk6JrNflrqWyzkPhLuwZzoC.jpg,2
111872,Helen Martin,/qJBghBWafQS39iFubNWlH3ai4uK.jpg,0
18277,Sandra Bullock,/bsAy8f8UZKairXQzRukU5FP4XAQ.jpg,1
5724,Denis Leary,/lnk4HjUeqDlT6Kg9PaQsVIDpl56.jpg,2
64998,Pauly Shore,/rCoEeH3jmwpNjMHAVv9SchtnNJh.jpg,2
16484,Joey Lauren Adams,/hQqqcyUvLQwnqBYCdpGZIfKOpmO.jpg,1
22297,Kyle Gass,/jSo0tKozbudF78NaR6DCNSXKSP9.jpg,2
28640,Molly Shannon,/11Ade9QKtTSwUeRNH9cVCWoaeQj.jpg,1
35137,Josiane Balasko,/ijdGcyrROO1bddXh6nNx4WcZcWb.jpg,1
4275,Alain Chabat,/zR39m8iQ2OWn753WLwQ3oiH1qRc.jpg,2
38403,Telsche Boorman,,0
9778,Ice Cube,/dzdn1tyWkC4EjlBVKvpAhg5osYA.jpg,2
65134,DJ Pooh,/rdhmGM82GL5er2N2YmwRPVQxD9U.jpg,2
37932,F. Gary Gray,/hjMfkAyz5ECn0svAzrkG3YsEaEW.jpg,2
1461,George Clooney,/esyiULfB7kSrhgzBkLamjsTTKEg.jpg,2
1037,Harvey Keitel,/4IcHhp1SCKijRxb7kqnxZNJuKdn.jpg,2
11159,Cheech Marin,/efuXbXg7JpORy5hPDU7Zityq3k3.jpg,2
11161,Tom Savini,/yOZPKC3TXlxkvx4HoDrhq1PgXrU.jpg,2
9811,Fred Williamson,/tc4K1y80KA8RrVR8tvmSNCuvWa8.jpg,0
53763,Tito Larriva,/kfOZ6Z7JtslNMBtiLU3bSxhdfXe.jpg,2
59287,Gregory Nicotero,/tbSRk7j0hYlBWWX7QrjdOXeiMpW.jpg,2
1042415,Wayne Toth,/xAFAGWPDP48JsA9bmGqcf1ZEqoO.jpg,0
13021,William Baldwin,/1G9Y076nnZaobTAtzRefZd8rFNN.jpg,2
52930,Carlos Jacott,/wzCNencJ1xx9EOEFRrGlJB1twtQ.jpg,2
7036,Eric Stoltz,/fXaULtqnMDKsqT1to8vnLjSXe0w.jpg,2
78190,Chris Eigeman,/4JXp2loLNrssBipfrvnhmXfhcaz.jpg,2
54474,Peter Czernin,,2
76989,Christopher Reed,,2
5656,Noah Baumbach,/6PuCDnBLURBnLCuat7BfouH9Gus.jpg,2
827,Elliott Gould,/bo5jSwWyFRsKVAkELT9n7AKQqMk.jpg,2
3829,Jean-Paul Belmondo,/iiik4HMqRzDoVyqugLLueHcAsiN.jpg,2
23508,Daniel Toscan du Plantier,/635p8QihDt4w6GJlnV9dKoZO6o.jpg,2
2224,Christian Slater,/3ElLWjnvchMS6Q4cIQOK8QNAoMG.jpg,2
31140,Mary Stuart Masterson,/jQLmmJWumj0MsxE2DjvMHbf5ysz.jpg,1
16851,Josh Brolin,/jz8gDYozhRC2Ymd38ydPsW7wm49.jpg,2
18274,Michael Haley,,0
91041,Liz Sinclair,,0
91042,Al Cerullo,/szDkSiUOtHf9xEf0ZIIl30KoQTo.jpg,0
8872,Rick Moranis,/rVZbTJjM4g0Um6trlLHRiBzBO7t.jpg,2
74036,Tom Arnold,/udJkmZPrQs4D8NPV8u4BEv3rNLX.jpg,2
87003,Curtis Armstrong,/bnkYsjehjIXPUOtPpse4GTVWAKE.jpg,2
27726,Don Knotts,/qMqpOuJj69ozHCViUZSiFvgggva.jpg,2
56978,Jennifer Rubin,/xK5ubDqPfiWjXffMJzTvObFlXsV.jpg,1
56979,Andrew Lauer,/hO1kHCOeh5Y3b451JjngSA5MYjM.jpg,2
938895,Nico,/pSrb0BhWqbBmqbH69wAuuEeFP9X.jpg,0
7491,John Cale,/jtzO8cnQhseN7Ww0f60D1X4hv0j.jpg,2
18627,Paul Morrissey,/bv4aWgFTm8lSn5Gb0W5QorhpyxF.jpg,0
514,Jack Nicholson,/hINAkm21g80UbaAxA6rHhOaT5Jk.jpg,2
5657,Anjelica Huston,/Aiyv68gYWcEe9OYhyCkOa09kjmy.jpg,1
32,Robin Wright,/tXfQTgcIEPP7gtVdJ44ZxZPhacn.jpg,1
98084,David Baerwald,,0
72861,Robbie Robertson,/wR0MkHUYG7YMY6ZDeG78R12IWdN.jpg,2
78084,Jeff Morris,/nAZRsstL5d88PlqSeTdocqOm29U.jpg,0
98092,Dennis Fanning,,0
89838,Leo Penn,/l4qOzkSca0mOh53LMulXresXctt.jpg,2
21544,Richard C. Sarafian,/8NS8Rb57CCqIewvfX5ru9J5PC9M.jpg,0
7447,Alec Baldwin,/zFtp13AZyPbqbj6yHujPWHO5ioh.jpg,2
24045,Joseph Gordon-Levitt,/zSuXCR6xCKIgo0gWLdp8moMlH3I.jpg,2
8256,Anne Heche,/aXMySUgcAJ09dq0oD0qY1mcsr1c.jpg,1
1271,Andy García,/zE3KYH6f6cxCehJJYKDTQa8sCaK.jpg,2
4520,William Forsythe,/3oaz2y7hIm3r3OyDKvQ1i2D8cLR.jpg,2
884,Steve Buscemi,/e19GfOWzMNN1hi7B9Ci62hMvtXs.jpg,2
35597,Jenny McCarthy,/itsSilp7prfi3lKQMFn1p5J6hWI.jpg,1
13506,Willeke van Ammelrooy,/l3q5vBixKV4LrJWaRdnXQ2Rc3PW.jpg,1
6542,Isaac Hayes,/4igh7emwzt4xBLw1r05gCUHxwzD.jpg,2
94511,Taj Mahal,/tEqFRK0vJFZsTgwMSLdUqnKKrRB.jpg,2
990400,Victoria Foyt,,0
69697,Jon Robin Baitz,/qcIXODfCX0M9tpoA2TPxXVELUqS.jpg,2
109470,Andre Gregory,/cHrPNHXH3QhNqYd3UUETcHM1OlB.jpg,2
6832,Melissa Leo,/pWP5xzOtoOcqJ0lZo2xguQ5BnrB.jpg,1
7505,Roddy McDowall,/e0OZn5SUXHghdmAgJbF3uLHD5gf.jpg,2
115178,Kristoffer Tabori,/c6UmFiIdAC0QeJWZIJlatrrXv7m.jpg,2
117075,Henry Jaglom,/yJRN22AlH1sDNXrq8rNqvL5ZpVo.jpg,2
1229,Jeff Bridges,/xms1RAY6q7Lzp7wNeRCB0kzhucn.jpg,2
11864,Ryan Phillippe,/8MlC0rqhMpDxnfFjmw2DKOhdVpB.jpg,2
1206,Jason Alexander,/ernpSXp2RnkzeV14OEEKXRq1yND.jpg,2
4757,Rupert Everett,/pgwbXEVq1v6vVNwcjqbMnhIvA4k.jpg,2
5129,Paul Reubens,/qiY2maQ1iFnoaUiGNGLTKnaj3Xu.jpg,2
60950,David Spade,/tamKFAKdB1Q2mllHYHXxqg3YUXr.jpg,2
31511,Grant Heslov,/7MKZWZnGmeBmK9JRUKZYDN8Cqeb.jpg,2
21561,Tim Matheson,/iQQCtIS9bQJlQ8OMOzeidsJptAQ.jpg,2
2048,Gary Busey,/n66ycv61ZoqusHthcQde1g3JY6T.jpg,2
1030724,John Ashker,,2
85,Johnny Depp,/kbWValANhZI8rbWZXximXuMN4UN.jpg,2
1204,Julia Roberts,/h13yvG0tRNMTAwciQXxYmQWdYW8.jpg,1
6949,John Malkovich,/tCtiWZbKKRgHhLxFCIPfveYAsdc.jpg,2
515,Glenn Close,/fF6tCfuvuUhaePm5onUNnIE4FvL.jpg,1
776,Eddie Murphy,/bsi706zdqs0KAPdOsqz6AkLNcFF.jpg,2
6951,W. Earl Brown,/ygTJtQVn9R2NgE1YPybsgk33jBm.jpg,2
16327,Timothy Hutton,/ypC4mzLExwmG0QHfi8vFe9LTeSi.jpg,2
139,Uma Thurman,/6SuOc2R7kXjq3Em24KTNDW9qblJ.jpg,1
15234,David Arquette,/p5l4pnL9xhbHiKSipcdsCekoD52.jpg,2
11805,Frank Whaley,/ma1lgPwUHUlgdt9BIcIbEPjdx0h.jpg,2
6198,Vondie Curtis-Hall,/tH7QvQ9ST9zLuZZsTHzxMXkgtIy.jpg,2
4607,Ousaun Elam,/wYr28o3cuqZ3iLCMWBMwjhrA05o.jpg,2
9558,Joey Box,,2
12094,Jennifer Saunders,/c1qRVTYqUhWd7y2ws426zdyqhln.jpg,1
26860,John Sessions,/oLBcHRhah5FxyodfZECIHCrROwG.jpg,2
